ï»¿id;id_ex;siret;rup_mi;gestion;date_creat;date_decla;date_publi;date_disso;nature;groupement;titre;titre_court;objet;objet_social1;objet_social2;adrs_complement;adrs_numvoie;adrs_repetition;adrs_typevoie;adrs_libvoie;adrs_distrib;adrs_codeinsee;adrs_codepostal;adrs_libcommune;adrg_declarant;adrg_complemid;adrg_complemgeo;adrg_libvoie;adrg_distrib;adrg_codepostal;adrg_achemine;adrg_pays;dir_civilite;siteweb;publiweb;observation;position;maj_time
W331001162;;;;331S;2011-04-19;2011-04-19;2011-04-30;0001-01-01;D;S;SAINT SAVIN UNITED CLUB;SAINT SAVIN UNITED CLUB;promouvoir la pratique et le dÃ©veloppement du football;011075;000000;;2;;;Durand;_;33473;33920;Saint-Savin;;;;6 lieu dit Marjolleau;;33920;Saint-Savin;FRANCE;PM;;0;;A;2011-05-02 17:40:44
W331001176;;;;331S;2011-06-28;2018-02-02;2011-07-30;0001-01-01;D;S;UNION SPORTIVE NORD GIRONDE OMNISPORTS - SECTION FOOTBALL;USNG;"l'Ã©ducation et l'entrainement pour la pratique du football ; elle regroupe les communes de : Cavignac, CÃ©zac, Civrac de Blaye, Saint Yzan de Soudiac, Saint Savin et Laruscade, Saint Girons d'Aiguevives";011000;009005;;15;;RUE;Brossolette;;33492;33920;Saint-Yzan-de-Soudiac;;;;8 RUE BUISSONNIERE;;33710;COMPS;FRANCE;FS;;0;;A;2018-08-04 20:00:04
W331001323;0163500;;;331S;1998-07-13;2005-09-28;1998-07-12;0001-01-01;D;S;"""COMITE D'ORGANISATION DU FOOTBALL CANTONAL""";"""COMITE D'ORGANISATION DU FOOTBALL C";offir une structure d'accueil solide, sÃ©rieuse et efficace Ã  tous les jeunes des clubs de football du canton de bourg dÃ©sirant pratiquer ce sport, et ceci quelque soit la disponibilitÃ© des parents. assurer une formation de qualitÃ© pour toutes les catÃ©gories d'Ã¢ge.;007035;011075;CDC;8;;;au Mas;_;33067;33710;Bourg;;CDC;;8  au Mas;;33710;BOURG;FRANCE;PM;;0;;A;2012-11-16 15:12:01
W331001611;00241BX00;;;331S;1986-05-09;2022-11-07;1986-06-04;0001-01-01;D;S;FOOTBALL CLUB DE CUBZAC LES PONTS;FC CUBZAC LES PONTS;Ã©cole de football et compÃ©tition;011075;000000;Mairie;49;;AV;de Paris;_;33143;33240;Cubzac-les-Ponts;;Mairie;;49 avenue de Paris;;33240;CUBZAC LES PONTS;FRANCE;PM;;0;reprise du NÂ°00241bx00 qui ne fonctionne plus et non du NÂ° 1254 de la S/P de Bordeaux qui n'a jamais Ã©tÃ© saisi sous informatique;A;2022-11-07 09:16:45
W331001629;00477BX00;;;331S;1982-02-22;2025-09-09;1982-03-05;0001-01-01;D;S;FOOTBALL CLUB DE SAINT-ANDRE-DE-CUBZAC;FOOTBALL CLUB DE SAINT-ANDRE-DE-CUB...;pratique des exercices physiques et notamment du football;007035;011075;Mairie;8;;PL;Raoul Larche;_;33366;33240;Saint-AndrÃ©-de-Cubzac;;Mairie;;8 place Raoul Larche;;33240;ST ANDRE DE CUBZAC;FRANCE;PM;;0;;A;2025-09-09 12:30:35
W331001728;;;;331S;2016-08-04;2016-08-04;2016-08-13;0001-01-01;D;S;FC FOOTGOAL;FC FOOTGOAL;pratique du football;011075;000000;;465;;AV;de l'Europe;_;33366;33240;Saint-AndrÃ©-de-Cubzac;;;;465  avenue De l'europe;;33240;Saint-AndrÃ©-de-Cubzac;FRANCE;PM;;0;;A;2016-08-16 08:42:12
W331001781;;;;331S;2017-03-29;2022-09-06;2017-04-08;2022-06-20;D;S;SAINT GIRONS LOISIRS;SAINT GIRONS LOISIRS;cette association a pour objet la pratique du football;011075;000000;Mairie;15;;;le Bourg;_;33416;33920;Saint-Girons-d'Aiguevives;;Mairie;;15   le Bourg;;33920;Saint-Girons-d'Aiguevives;FRANCE;PM;;0;;D;2022-09-06 08:52:43
W331005128;;;;331S;2019-05-22;2019-07-12;2019-05-25;0001-01-01;D;S;BLACKS DIAMONDS;BLACKS DIAMONDS;"promouvoir la pratique de l'Ã©ducation physique des sports relatives Ã  la
convention de la fÃ©dÃ©ration franÃ§aise de football amÃ©ricain : le cheerleading ; Les moyens d'action de l'Association sont la
tenue d'AssemblÃ©e pÃ©riodique, la publication d'un bulletin annuel, les sÃ©ances d'entraÃ®nements, 
l'organisation et la participation aux compÃ©titions et, en gÃ©nÃ©ral, tous les exercices et toutes les initiatives
propres Ã  la formation physique et morale des membres ; L'association s'engage Ã©galement Ã  respecter la
libertÃ© de conscience et s'interdit toute discrimination ;";011075;000000;;14;;RUE;de l'Ancienne Commanderie;_;33553;33240;Virsac;;;;14  RUE DE L'ANCIENNE COMM;;33240;VIRSAC;FRANCE;PM;;0;;A;2020-01-10 20:00:03
W331005233;;;;331S;2020-06-30;2020-12-15;2020-07-04;0001-01-01;D;S;FOOTBALL CLUB ALLIANCE DU MORON;FC ALLIANCE DU MORON;promouvoir la pratique et le dÃ©veloppement du football;011075;000000;Mairie de Bourg;1;;RUE;du Chateau Vieux;_;33067;33710;Bourg;;;;17  CHEMIN DE CLAYAC;;33710;PRIGNAC ET MARCAMPS;FRANCE;MR;;0;;A;2021-06-16 20:00:03
W331005374;;;;331S;2022-02-12;2022-02-12;2022-02-22;0001-01-01;D;S;FOOTBALL DE TABLE AQUITAINE;FTA;dÃ©velopper un club de football de table subbutÃ©o, et sa pratique rÃ©guliÃ¨re en loisirs et en compÃ©titions;011075;000000;;5 Bis;;CHEM1;de la Pourquaude;_;33339;33710;Prignac-et-Marcamps;;;;5 BIS CHEMIN DE LA POURQUAU;;33710;PRIGNAC ET MARCAMPS;FRANCE;MR;;0;;A;2022-02-22 12:45:18
W331005749;;;;331S;2025-07-15;2025-07-15;2025-07-22;0001-01-01;D;S;LES VIEUX CRAMPONS;LES VIEUX CRAMPONS;favoriser le lien social entre les membres par la pratique conviviale du football, organisation de sorties et Ã©vÃ¨nements dans une dÃ©marche de loisirs et de partage sans but lucratif, politique ou religieux;011075;000000;;6 Bis;;RUE;des Hortensias;_;33415;33240;Saint-Gervais;;;;6 BIS RUE DES HORTENSIAS;;33240;ST GERVAIS;FRANCE;MR;;0;;A;2025-07-22 07:05:13
W331005856;;;;331S;2026-05-19;2026-05-19;2026-05-26;0001-01-01;D;S;FC MC VISUAL;FC MC VISUAL;activitÃ© sportive , pratique du football;011075;000000;33920;13;;RUE;Jean Jaures;_;33492;33920;Saint-Yzan-de-Soudiac;;33920;;13  RUE JEAN JAURES;;33920;ST YZAN DE SOUDIAC;FRANCE;MR;;0;;A;2026-05-26 10:05:31
W331005878;0053500;;;331S;1969-01-17;2000-12-13;1969-02-16;0001-01-01;D;S;"""AMICALE DE FOOTBALL DU BLAYAIS - CUBZAGUAIS""";"""AMICALE DE FOOTBALL DU BLAYAIS - CUBZ";amicale de football du Blayais-Cubzaguais;011075;000000;;;;;;_;33473;33920;Saint-Savin;;;;;;33920;ST SAVIN;FRANCE;PM;;0;;A;2026-07-15 09:54:32
W332000089;;;;332P;2006-03-24;2006-03-24;2006-05-06;0001-01-01;D;S;LA DREAM TEAM DE LU;LA DREAM TEAM DE LU;pratique du football fÃ©minin de loisir;011000;000000;;; ;AV;Salvador Allende - LU Cestas;_;33122;33610;Cestas;;Madame la PrÃ©sidente;;Avenue Salvador Aliende;;33610;CESTAS;FRANCE;PM;;0;;A;2008-08-11 18:59:54
W332000146;;;;332P;2006-03-27;2025-07-16;2006-05-13;0001-01-01;D;S;NOUVELLE AQUITAINE FOOTBALL ASSOCIATION ( N.A.F.A );AQUITAINE FOOTBALL ASSOCIATION  (A....;pratique du football ainsi que l'organisation de manifestations Ã  but non lucratif;011000;000000;HÃ´tel de RÃ©gion;14; ;RUE;FranÃ§ois de Sourdis;_;33063;33000;Bordeaux;;HÃ”TEL DE RÃ‰GION;;14  RUE FRANÃ‡OIS DE SOURDIS;;33000;BORDEAUX;FRANCE;PM;;0;chemise rose;A;2026-01-15 19:00:02
W332000449;2324200;;;332P;1995-08-04;2010-07-27;1995-08-23;2010-05-03;D;S;FOOT-BALL CLUB DE MAGUDAS;FOOT-BALL CLUB DE MAGUDAS;foot ball;011075;000000;;118; ;ALL;du parc;_;33422;33127;Saint-Jean-d'Illac;;;;118 ALLÃ‰E DU PARC;;33127;SAINT JEAN D'ILLAC;FRANCE;PM;;0;;D;2010-07-27 14:42:27
W332000528;;;;332P;2006-05-09;2007-02-02;0001-01-01;0001-01-01;D;S;OLYMPIQUE CLUB ATLETICO BORDEAUX;OLYMPIQUE CLUB ATLETICO BORDEAUX;pratique du football ...;011000;000000;;80; ;RUE;des SabliÃ¨res   Appt 19;_;33063;33000;Bordeaux;;;;80  Rue des SabliÃ¨res   Appt 19;;33000;BORDEAUX;FRANCE;PM;;0;dossier bleu;A;2008-08-11 18:59:54
W332000627;05349SP00;;;332P;2000-06-08;2025-10-21;0001-01-01;0001-01-01;D;S;FOOTBALL CLUB RIVE DROITE 33;FC RIVEDROITE33;promouvoir la pratique et le dÃ©veloppement du football dans la commune d'Artigues prÃ©s bordeaux et la communautÃ© de commune les coteaux bordelais;011075;011075;;; ;;;_14 chemin de Petrus;33535;33370;Tresses;;;;14 CHEMIN DE PETRUS;;33370;TRESSES;FRANCE;PG;;0;;A;2026-04-22 18:00:02
W332000873;;;;332P;2006-06-20;2024-12-27;0001-01-01;0001-01-01;D;S;GIRONDINS FUTSAL;GIRONDINS FUTSAL;pratique du futsal (football en salle)  par le biais d'entraÃ®nements, compÃ©titions et tournois;011000;000000;201 RÃ©sidence Robert Schuman;2; ;ALL;des Terres Neuves;_;33039;33130;BÃ¨gles;;;;RUE DE L'HORLOGE;;33600;PESSAC;FRANCE;CP;;0;;A;2025-01-07 09:58:52
W332001084;;;;332P;2006-07-17;2010-07-23;0001-01-01;2010-07-03;D;S;AS AVI IVECO;AS AVI IVECO;football entreprise;011075;000000;;67; ;RUE;Prunier;_;33063;33300;Bordeaux;;;;67  Rue Prunier;;33300;BORDEAUX;FRANCE;PM;;0;;D;2010-07-23 15:18:14
W332001135;3035600;;;332P;2003-04-10;2006-07-13;2003-05-31;0001-01-01;D;S;LES AS-PROS;LES AS-PROS;"organiser des matchs amicaux et des rencontres de football les tournois de sixte ou quelque manifestation sportive que ce soit. E;;e a Ã©galement pour objet l'organisation de manifestations culturelles rÃ©servÃ©es exclusivement aux adhÃ©rents de l'association, ces manifestations culturelles en quelque endroit du ressort du dÃ©partement de la Gironde, l'association pouvant leur louer tout type de salle pour organiser ces manifestations";011075;000000;;5; ;RUE;Jean Cocteau;_;33122;33610;Cestas;;;;5 Rue Jean Cocteau;;33610;CESTAS;FRANCE;PM;;0;;A;2008-08-11 18:59:54
W332001146;0582400;;;332P;1954-01-25;2026-05-31;1954-02-03;0001-01-01;D;S;FOOTBALL CLUB DES ECUREUILS DE MERIGNAC-ARLAC (F.C.E M.A);FOOTBALL CLUB DES ECUREUILS D'ARLA...;DÃ©velopper les qualitÃ©s physiques et morales de ses adhÃ©rents par la pratique de l'Ã©ducation physique et des sports.;011075;000000;terrain du Burck;; ;AV;Bon Air;_;33281;33700;MÃ©rignac;Guala StÃ©phane;;;AVENUE BON AIR;;33700;MERIGNAC;FRANCE;TM;;0;;A;2026-06-02 12:56:31
W332001172;;;;332P;2006-07-28;2023-04-11;0001-01-01;0001-01-01;D;S;LES GRINGALETS;LES GRINGALETS;favoriser la rÃ©habilitation psychosile par la pratique d'un sport collectif, le football;011075;000000;;24; ;AV;Raoul Amat;_;33281;33700;MÃ©rignac;;;;24 AVENUE RAOUL AMAT;;33700;MERIGNAC;FRANCE;PM;;0;;A;2023-04-11 12:12:17
W332001184;3158900;;;332P;2004-06-09;2006-06-01;2004-07-10;0001-01-01;D;S;FOOTBALL CLUB INTER PLIAGE;FOOTBALL CLUB INTER PLIAGE;promouvoir la pratique et le dÃ©veloppement du football;011075;000000;;; ;;;_chemin des Maures;33192;33170;Gradignan;;;;;chemin des Maures;33170;GRADIGNAN;FRANCE;PM;;0;;A;2007-04-03 18:35:50
W332001252;;;;332P;2006-08-08;2006-08-08;0001-01-01;0001-01-01;D;S;BORDEAUX ODONTO FOOT;BORDEAUX ODONTO FOOT;la pratique de l'Ã©ducation physique et des sports en particulier le football;011075;000000;;16; ;COUR2;de la Marne;_;33063;33800;Bordeaux;;;;16  Cours de la Marne;;33800;BORDEAUX;FRANCE;PM;www.ged33.com;0;;A;2008-08-11 18:59:54
W332001266;2761500;;;332P;2000-03-23;2006-04-26;2000-04-29;0001-01-01;D;S;ASSOCIATION SPORTIVE DE LA VIEILLE DAME;ASSOCIATION SPORTIVE DE LA VIEILLE ...;"initiation et dÃ©tente autour d'un sport : LE FOOTBALL;
permettre Ã  ses membres de pratiquer en toute tranquilitÃ© et sÃ©curitÃ© un sport; 
permettre Ã  ses membres de se retrouver sur terrain dans la bonne humeur";011075;000000;;130; ;RUE;FondaudÃ¨ge;_BP 557;33063;33000;Bordeaux;;;;130 Rue FondaudÃ¨ge;557;33000;BORDEAUX;FRANCE;PM;;0;;A;2008-08-11 18:59:54
W332001490;;;;332P;2006-09-14;2017-09-12;0001-01-01;0001-01-01;D;S;ASSOCIATION JEUNESSE FUTSAL (A.J.F.);ASSOCIATION JEUNESSE FUTSAL (A.J.F.);promouvoir la pratique et dÃ©veloppement du futsal;011000;000000;;54; ;RUE;CAMILLE FLAMMARION;;33063;33100;Bordeaux;;CHEZ MADAME FRANCOISE FREMY;;54 RUE CAMILLE FLAMMARION;;33100;BORDEAUX;FRANCE;PM;;0;;A;2018-03-13 20:00:03
W332001634;01730SP00;;;332P;1988-07-27;2025-09-05;1988-08-17;0001-01-01;D;S;FOOTBALL CLUB LOUBESIEN;FOOTBALL CLUB LOUBESIEN;promouvoir la pratique du football rÃ©gie par la FÃ©dÃ©ration FranÃ§aise de Football (FFF)et d'une faÃ§on complÃ©mentaire Ã©ventuelle la pratique d'autres activitÃ©s physiques et culturelles;011075;000000;;5 ter; ;CHEM1;du Nice;_;33433;33450;Saint-LoubÃ¨s;;;;44 RUE DU STADE;;33450;ST LOUBES;FRANCE;PM;;0;;A;2025-09-05 13:01:20
W332001687;0264400;;;332P;1933-04-14;2024-06-05;1933-05-10;0001-01-01;D;S;BOULIACAISE FOOT BALL CLUB;BOULIACAISE FOOT BALL CLUB;initiation et pratique du football;011075;000000;Salle Serge Breuil;; ;RUE;du Stade;_;33065;33270;Bouliac;;;;5 RUE DU STADE;;33270;BOULIAC;FRANCE;MS;;0;;A;2024-12-05 19:09:10
W332001701;;;;332P;2006-10-10;2006-10-10;0001-01-01;0001-01-01;D;S;BORDEAUX OLYMPIQUE SPORTS SUD TALENCE (BOSS TALENCE);BORDEAUX OLYMPIQUE SPORTS SUD TALEN...;club de sport Ã©lectronique spÃ©cialisÃ© dans les jeux vidÃ©os et principalement aujourd'hui autour du football virtuel;006000;000000;;; ;RES;crespy  II   bÃ¢t 4  entrÃ©e B   Appt 148;_;33522;33400;Talence;;;;RÃ©sidence crespy  II   bÃ¢t 4  entrÃ©e B;;33400;TALENCE;FRANCE;PM;;0;;A;2008-08-11 18:59:54
W332001752;0161500;;;332P;1926-07-16;2013-10-30;1926-07-21;0001-01-01;D;S;CLUB OMNISPORTS TBC;CLUB OMNISPORTS TBC;La pratique de tous les sports, en particulier le football, l'athlÃ©tisme et le cyclisme.;011005;000000;;25; ;RUE;du Commandant Marchand;33082_BORDEAUX CEDEX;33063;33000;Bordeaux;;25 rue du Commandant Marchand;;;;33082;BORDEAUX CEDEX;FRANCE;PM;;0;;A;2013-10-30 10:25:24
W332001814;;;;332P;2006-10-18;2007-02-19;0001-01-01;0001-01-01;D;S;FOOTBALL CLUB GRAND PARC (F.C.G.P);FOOTBALL CLUB GRAND PARC (F.C.G.P);crÃ©er un club de football amateur avec des jeunes afin de dynamiser la vie du quartier;011000;000000;;1; ;PL;de l'Europe;_;33063;33300;Bordeaux;;;;1  Place de l'Europe;;33300;BORDEAUX;FRANCE;PM;;0;;A;2008-08-11 18:59:54
W332001943;3055300;;;332P;2003-06-26;2007-03-23;2003-08-09;0001-01-01;D;S;ENTENTE SPORTIVE AMBARESIENNE;ENTENTE SPORTIVE AMBARESIENNE;apprentissage et pratique du football;011075;000000;;13 BIS; ;RUE;DE SAUVIN;_;33003;33440;AmbarÃ¨s-et-Lagrave;;;;13 Rue SAUVIN;;33440;AMBARES ET LAGRAVE;FRANCE;PM;;0;;A;2008-08-11 18:59:54
W332002048;3313800;;;332P;2005-11-09;2021-12-15;2005-12-17;0001-01-01;D;S;FF BORDEAUX;F.F.B.B.;DÃ©veloppement des activitÃ©s sportives et notamment fu football en salle, l'organisation de compÃ©titions les sÃ©ances d'entrainement les confÃ©rences sur les questions sportives et en gÃ©nÃ©ral tous exercices et toutes initiatives propres Ã  la foramtion physique et morale de la jeunesse;011000;011075;;4; ;ALL;Camille Desmoulins;_;33449;33160;Saint-MÃ©dard-en-Jalles;;;;50 QUAI DE LA SOUYS;;33100;BORDEAUX;FRANCE;PM;;0;;A;2021-12-28 12:45:45
W332002054;0976300;;;332P;1972-06-01;2019-09-15;1972-06-15;0001-01-01;D;S;AMICALE SPORTIVE TAILLANAISE;AMICALE SPORTIVE TAILLANNAISE;promouvoir la pratique et le dÃ©veloppement du football;011005;000000;Stade Municipal;89; ;AV;du Stade;_;33519;33320;Taillan-MÃ©doc;;STADE MUNICIPAL DU TAILLAN MEDOC;;B. P. 34;;33320;LE TAILLAN MEDOC;FRANCE;CO;;0;;A;2019-09-21 12:46:02
W332002065;11730BIS00;;;332P;1978-02-04;2026-05-28;1978-02-16;0001-01-01;D;S;ASSOCIATION D'ENTRAIDE CAMBODGIENNE D'AQUITAINE (AECA);AECA;"entraider, prÃ©server et diffuser la culture combodgienne ; avoir des relations Ã©troites avec toute la communautÃ© combodgienne d'Aquitaine, de toute la France et de l'Etranger dont le Cambodge ; animer les activitÃ©s sportives (football, volley-ball, pÃ©tanque...) et de loisirs ; s'abstenir de toutes activitÃ©s politiques";020000;000000;;35; ;RUE;de SabarÃ¨ges;_;33003;33440;AmbarÃ¨s-et-Lagrave;;;;4 RUE PAUL CLAUDEL;;33270;FLOIRAC;FRANCE;PM;;0;;A;2026-05-28 10:17:59
W332002080;1947700;;;332P;1991-08-13;2008-07-22;1991-09-04;0001-01-01;D;S;IKEA FOOTBALL CLUB DE BORDEAUX;IKEA FOOTBALL CLUB DE BORDEAUX;Promouvoir la pratique et le dÃ©veloppement du football.;011075;000000;IKEA;; ;AV;des Quarante-Journaux;_;33063;33300;Bordeaux;;IKEA;;Avenue des Quarante-Journaux;;33300;BORDEAUX;FRANCE;PM;;0;;A;2009-07-20 12:14:41
W332002184;05707SP00;;;332P;2001-06-22;2021-02-10;0001-01-01;0001-01-01;D;S;FOOTBALL CLUB DES COMMUNES DU CREONNAIS;FOOTBALL CLUB DES COMMUNES DU CREON...;Initiation et pratique du football;011075;000000;Mairie;27; ;PL;de la PrÃ©vÃ´tÃ©;_;33140;33670;CrÃ©on;;MAIRIE;;27 PLACE DE LA PRÃ‰VÃ”TÃ‰;;33670;CREON;FRANCE;TS;;0;;A;2021-08-12 20:00:03
W332002212;0117600;;;332P;1922-07-05;2007-06-27;1922-07-20;2007-06-13;D;S;UNION SPORTIVE TRESNAISE;UNION SPORTIVE TRESNAISE;Pratique du football amical;011075;000000;cafÃ© de la Gare;; ;;;_;33234;33360;Latresne;;17 rue de Budos;;;;33000;Bordeaux;FRANCE;PM;;0;;D;2007-09-26 10:00:46
W332002286;2663600;;;332P;1999-02-09;2017-10-24;0001-01-01;0001-01-01;D;S;ASSOCIATION SPORTIVE ET CULTURELLE PESSAC ALOUETTE (A.S.C.P.A.) SECTION FOOTBALL EN SALLE COMMUNEMENT APPELEE ASCPA FUTSAL;ASSOCIATION SPORTIVE ET CULTURELLE ...;pratique du football en salle;011075;000000;Foyer A.S.C.P.A.;27; ;AV;Kennedy;_;33318;33600;Pessac;;;APPT. 14;31 BIS RUE SIMONE DE BEAUVOIR;;33600;PESSAC;FRANCE;PM;;0;;A;2018-04-25 20:00:03
W332002309;3268700;;;332P;2005-06-08;2025-11-25;2005-07-23;0001-01-01;D;S;FOOTBALL CLUB MARTIGNAS ILLAC;FOOTBALL CLUB MARTIGNAS ILLAC;Pratique du Football;011075;000000;;140; ;AV;du Las;_;33422;33127;Saint-Jean-d'Illac;;;;2 RUE MAURICE RAVEL;;33127;MARTIGNAS;FRANCE;PM;;0;;A;2025-11-25 13:05:50
W332002347;0980800;;;332P;1972-06-29;2025-09-30;1972-07-18;0001-01-01;D;S;FOOTBALL CLUB D'AMBES;FOOTBALL CLUB D'AMBES;Pratique du jeu du football Ã  l'exclusion de toutes autres activitÃ©s, sportives ou autres. Elle est affiliÃ©e Ã  la FÃ©dÃ©ration FranÃ§aise de Football.;011075;000000;Stade Municipale;5 bis; ;RUE;Louis Lachenal;_;33004;33810;AmbÃ¨s;;;;5 BIS RUE LOUIS LACHENAL;;33810;AMBES;FRANCE;PF;;0;;A;2025-09-30 09:38:46
W332002501;;;;332P;2006-11-29;2006-11-29;2007-01-06;0001-01-01;D;S;LA HOUSE UNITED;LA HOUSE UNITED;pratiquer du football loisir;011075;000000;;28; ;BD;Pey-Arnaud;_;33090;33610;CanÃ©jan;;;;28  Boulevard Pey-Arnaud;;33610;CANEJAN;FRANCE;PM;;0;;A;2008-08-11 18:59:54
W332002509;1652700;;;332P;1987-10-16;2006-11-02;1987-11-11;0001-01-01;D;S;OLYMPIQUE CLUB DE BORDEAUX - O.C.B.;OLYMPIQUE CLUB DE BORDEAUX - O.C.B.;Provoquer, encourager, soutenir toutes initiatives tendant Ã  favoriser la pratique de l'Ã©ducation sportive, en particulier par la pratique du football.;011000;011075;;38; ;RUE;de Campeyraut;_;33063;33000;Bordeaux;;;;38 Rue de Campeyraut;;33000;BORDEAUX;FRANCE;PM;;0;;A;2008-08-11 18:59:54
W332002542;0203800;;;332P;1929-10-28;2026-02-02;1929-11-05;0001-01-01;D;S;RACING CLUB DE BORDEAUX;RACING CLUB DE BORDEAUX;"pratique du football, et plus gÃ©nÃ©ralement les activitÃ©s sportives et de loisirs ; l'association s'interdit toute pratique, discussion ou manifestation pouvant prÃ©senter un caractÃ¨re politique ou confessionnel ; les moyens d'actions de l'association sont la tenue d'assemblÃ©es et rÃ©unions pÃ©riodiques, des confÃ©rences et cours sur les questions sportives et de loisirs ou d'Ã©ducation, la publication de bulletins d'information, la prÃ©sence active sur les divers rÃ©seaux du net ; il s'agit, aussi, des sÃ©ances d'entrainement, des diverses compÃ©titions, ainsi que de toutes initiatives propres Ã  la formation sportive, intellectuelle, et morale de ses membres : stage de foot, sÃ©jour sportif, tournoi de foot, fitfoot, futnet";011075;000000;Stade de Suzon;;;CHEM1;de Suzon;_;33522;33400;Talence;;;;15 RUE BIR HAKEIM;;33560;CARBON BLANC;FRANCE;PM;;0;;A;2026-08-04 18:00:02
W332002616;2621200;;;332P;1998-09-17;2025-12-01;1998-10-17;0001-01-01;D;S;ASSOCIATION VOLONTAIRES BORDEAUX 98;ASSOCIATION VOLONTAIRES BORDEAUX 98;contribuer Ã  entretenir entre membres l'esprit de bÃ©nÃ©volat sportif ainsi que les liens Ã©troits de solidaritÃ© et de convivialitÃ© entre les personnes qui ont participÃ© Ã  l'organisation de la Coupe du monde de Football Ã  Bordeaux. Elle constitue un vivier de bÃ©nÃ©voles susceptibles d'apporter son concours Ã  tout type d'Ã©vÃ¨nement sportif ou Ã©ducatif dans le dÃ©partement de la Gironde, dans la rÃ©gion Aquitaine, Ã©ventuellement, Ã  titre exceptionnel sur toute autre rÃ©gion;011005;000000;;23;;AV;du Chatenet;;33318;33600;Pessac;;;;40 RUE FONTENELLE;;33140;VILLENAVE D ORNON;FRANCE;FS;;0;;A;2026-06-02 18:00:02
W332002671;11869BIS00;;;332P;1978-06-08;2022-06-13;1978-06-18;0001-01-01;D;S;CLUB DES SPORTIFS PORTUGAIS;CLUB DES SPORTIFS PORTUGAIS;fonder une Ã©quipe de football;011075;011000;Stade Wangermez;;;AV;de Lattre de Tassigny;_;33550;33140;Villenave-d'Ornon;;;;1, 2Ã‰ME IMPASSE DELBOS;;33300;BORDEAUX;FRANCE;SF;;0;;A;2022-06-13 11:35:26
W332002758;2697600;;;332P;1999-07-02;2026-08-03;1999-07-31;0001-01-01;D;S;ABP ST MEDARD EN JALLES;ABP ST MEDARD EN JALLES;pratique du Football;011075;000000;;3;;RUE;Seiyes;_;33449;33160;Saint-MÃ©dard-en-Jalles;LE DIABAT Alain;;;3 RUE SIEYES;;33160;SAINT MEDARD EN JALLES;FRANCE;PM;;0;;A;2026-08-04 09:42:17
W332002989;;;;332P;2007-01-16;2007-01-16;2007-02-17;0001-01-01;D;S;ASSOCIATION FUTSAL AQUITANIS (AFA);ASSOCIATION FUTSAL AQUITANIS (AFA);crÃ©er un club de futsal au sein de la stÃ© aquitanis Opac Hlm;011000;000000;;94;;COUR2;des Aubiers;_;33063;33000;Bordeaux;;;;94  Cours des Aubiers;;33000;BORDEAUX;FRANCE;PM;;0;;A;2007-11-08 13:09:15
W332003290;2914500;;;332P;2001-12-26;2013-07-02;2002-02-02;2013-06-05;D;S;UNION SPORTIVE TALENCE FOOTBALL;UNION SPORTIVE TALENCE FOOTBALL;pratique du football;011075;000000;Annexe du ChÃ¢teau de Thouars;;;CHEM1;des Maures;_;33522;33400;Talence;;10 jardins de Bracaud;;;;33240;PEUJARD;FRANCE;PM;;0;;D;2013-07-15 07:40:52
W332003519;;;;332P;2007-03-12;2007-03-12;0001-01-01;0001-01-01;D;S;PRO BTP F.C. (PRO BTP FOOTBALL CLUB);PRO BTP F.C. (PRO BTP FOOTBALL CLUB);"faire connaÃ®tre l'entreprise avec une image sportive,
dynamiser l'esprit d'Ã©quipe  dans l'entreprise dans le cadre d'une compÃ©tition Ã  long terme, en challenge entreprise";011075;000000;;12;;PL;Ravezies;_;33063;33000;Bordeaux;;;;13 impasse Archambeaud;;33400;TALENCE;FRANCE;PM;;0;;A;2009-09-15 14:27:56
W332003743;2881700;;;332P;2001-09-13;2026-03-26;2001-10-13;0001-01-01;D;S;KANGOUROUS DE PESSAC;KANGOUROUS DE PESSAC;pratique du football amÃ©ricain;011000;000000;Stade Bougnard;;;AV;de Bougnard;_;33318;33600;Pessac;MANIN Alexandra;;;AVENUE DE BOUGNARD;;33600;PESSAC;FRANCE;SF;;0;;A;2026-03-27 13:13:45
W332003751;2882100;;;332P;2001-09-13;2024-11-26;2001-10-13;0001-01-01;D;S;STADE PESSACAIS UNION CLUB (SPUC) - SECTION FOOTBALL;STADE PESSACAIS UNION CLUB (SPUC) -...;pratique du football;011075;000000;ChÃ¢teau de Bellegrave;;;AV;du Colonel Robert Jacqui;_;33318;33600;Pessac;;CHÃ‚TEAU DE BELLEGRAVE;...;;;33600;PESSAC;FRANCE;PM;;0;;A;2024-11-26 09:27:10
